description,title,country,region,postal code,locality,extend address,name
"
	216 West Jackson Boulevard is located in the area Chicago, USA (America).",216 West Jackson Boulevard,,,,,,
"
	4003 East Speedway Boulevard is located in the area Tucson, USA (America).",4003 East Speedway Boulevard,,,,,,
"
	Connecta Park, no. 35/37 is located in the area Düsseldorf, Germany (Deutschland).","Connecta Park, no. 35/37",,,,,,
"
	Wells Building is located in the area Milwaukee, USA (America).",Wells Building,,,,,,
"
	Acer 30-32 is located in the area Barcelona, Spain (España).",Acer 30-32,,,,,,
"
	Plaza of the Rockies West Tower is located in the area Colorado Springs, USA (America).",Plaza of the Rockies West Tower,,,,,,
"
	Interoute Wherstead is located in the area Wherstead, United Kingdom (UK), and the colocation data center is not  carrier neutral. The data center was last updated on 25-07-2008.",Interoute Wherstead,United Kingdom,,IP9 2BB,Wherstead,Interoute Wherstead,Interoute Communications Ltd
"
	Interoute Salzburg is located in the area Salzburg, Austria (Österreich), and the colocation data center is not  carrier neutral. The data center was last updated on 25-07-2008.",Interoute Salzburg,Austria,,5020,Salzburg,Interoute Salzburg,Interoute Communications Ltd
"
	Interoute Ivancice is located in the area Ivancice, Czech Republic, and the colocation data center is not  carrier neutral. The data center was last updated on 24-07-2008.",Interoute Ivancice,Czech Republic,,66491,Ivancice,Interoute Ivancice,Interoute Communications Ltd
"
	Via Caldera Campus is located in the area Milan (Milano), Italy (Italia).",Via Caldera Campus,,,,,,
"
	Eircom Dublin is located in the area Dublin, Ireland (Éire), and the colocation data center is  carrier neutral. The data center was last updated on 13-10-2007.",Eircom Dublin,Ireland,,D24,Dublin,Eircom Dublin,eircom Limited
"
	Marie Curie Strasse 7 is located in the area Dresden, Germany (Deutschland).",Marie Curie Strasse 7,,,,,,
"
	9706 E. Easter Avenue is located in the area Denver, USA (America).",9706 E. Easter Avenue,,,,,,
"
	Expedient Communications - Pittsburgh is located in the area Pittsburgh, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 14-07-2008.",Expedient Communications - Pittsburgh,USA,Pennsylvania,15220,Pittsburgh,Expedient Communications - Pittsburgh,Expedient Data Centers
"
	Expedient Data Centers - Boston is located in the area Boston, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 27-01-2015.",Expedient Data Centers - Boston,USA,Massachusetts,02155,Medford,Expedient Data Centers - Boston,Expedient Data Centers
"
	Expedient  Cleveland is located in the area Cleveland, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 28-04-2010.",Expedient  Cleveland,USA,Ohio,44128,Cleveland,Expedient  Cleveland,Expedient Data Centers
"
	Navisite New York is located in the area New York, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 07-10-2007.",Navisite New York,USA,New York,10014,New York,Navisite New York,"NaviSite, Inc."
"
	NaviSite Andover is located in the area Andover, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 07-10-2007.",NaviSite Andover,USA,Massachusetts,01810,Andover,NaviSite Andover,"NaviSite, Inc."
"
	NaviSite Syracuse is located in the area Syracuse, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 07-10-2007.",NaviSite Syracuse,USA,New York,13212,Syracuse,NaviSite Syracuse,"NaviSite, Inc."
"
	NaviSIte San Jose is located in the area San Jose, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 07-10-2007.",NaviSIte San Jose,USA,California,95134,San Jose,NaviSIte San Jose,"NaviSite, Inc."
"
	Navisite Oak Brook is located in the area Chicago, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 07-10-2007.",Navisite Oak Brook,USA,Illinois,60523,Oak Brook,Navisite Oak Brook,"NaviSite, Inc."
"
	KPN Munich is located in the area Munich (Münich), Germany (Deutschland), and the colocation data center is  carrier neutral. The data center was last updated on 06-10-2007.",KPN Munich,Germany,,80335,München,KPN Munich,Koninklijke KPN N.V
"
	KPN CyberCenter Aalsmeer is located in the area Amsterdam, The Netherlands (Holland), and the colocation data center is  carrier neutral. The data center was last updated on 24-03-2008.",KPN CyberCenter Aalsmeer,The Netherlands,,1411 GE,Aalsmeer,KPN CyberCenter Aalsmeer,Koninklijke KPN N.V
